v8-version,4,5,103,33,0
tick,0xbebdd9,19884,0,0x0,4
code-creation,Builtin,4,0x252c5c818bc0,112,"Illegal"
code-creation,Builtin,4,0x252c5c818c40,112,"EmptyFunction"
code-creation,Builtin,4,0x252c5c818cc0,112,"ArrayPush"
code-creation,Builtin,4,0x252c5c818d40,112,"ArrayPop"
code-creation,Builtin,4,0x252c5c818dc0,112,"ArrayShift"
code-creation,Builtin,4,0x252c5c818e40,112,"ArrayUnshift"
code-creation,Builtin,4,0x252c5c818ec0,112,"ArraySlice"
code-creation,Builtin,4,0x252c5c818f40,112,"ArraySplice"
code-creation,Builtin,4,0x252c5c818fc0,112,"ArrayConcat"
code-creation,Builtin,4,0x252c5c819040,117,"HandleApiCall"
code-creation,Builtin,4,0x252c5c8190c0,117,"HandleApiCallConstruct"
code-creation,Builtin,4,0x252c5c819140,112,"HandleApiCallAsFunction"
code-creation,Builtin,4,0x252c5c8191c0,112,"HandleApiCallAsConstructor"
code-creation,Builtin,4,0x252c5c819240,112,"RestrictedFunctionPropertiesThrower"
code-creation,Builtin,4,0x252c5c8192c0,112,"RestrictedStrictArgumentsPropertiesThrower"
code-creation,Builtin,4,0x252c5c819340,410,"ArgumentsAdaptorTrampoline"
code-creation,Builtin,4,0x252c5c8194e0,183,"InOptimizationQueue"
code-creation,Builtin,4,0x252c5c8195a0,688,"JSConstructStubGeneric"
code-creation,Builtin,4,0x252c5c819860,264,"JSConstructStubForDerived"
code-creation,Builtin,4,0x252c5c819980,570,"JSConstructStubApi"
code-creation,Builtin,4,0x252c5c819bc0,691,"JSConstructStubNewTarget"
code-creation,Builtin,4,0x252c5c819e80,260,"JSEntryTrampoline"
code-creation,Stub,2,0x252c5c819fa0,197,"CallConstructStub"
code-creation,Builtin,4,0x252c5c81a080,239,"JSConstructEntryTrampoline"
code-creation,Builtin,4,0x252c5c81a180,155,"CompileLazy"
code-creation,Builtin,4,0x252c5c81a220,167,"CompileOptimized"
code-creation,Builtin,4,0x252c5c81a2e0,167,"CompileOptimizedConcurrent"
code-creation,Builtin,4,0x252c5c81a3a0,206,"NotifyDeoptimized"
code-creation,Builtin,4,0x252c5c81a480,216,"NotifySoftDeoptimized"
code-creation,Builtin,4,0x252c5c81a560,216,"NotifyLazyDeoptimized"
code-creation,Builtin,4,0x252c5c81a640,193,"NotifyStubFailure"
code-creation,Builtin,4,0x252c5c81a720,193,"NotifyStubFailureSaveDoubles"
code-creation,Builtin,4,0x252c5c81a800,119,"LoadIC_Miss"
code-creation,Builtin,4,0x252c5c81a880,119,"KeyedLoadIC_Miss"
code-creation,Builtin,4,0x252c5c81a900,118,"StoreIC_Miss"
code-creation,Builtin,4,0x252c5c81a980,118,"KeyedStoreIC_Miss"
